,NUTS_ID,Area,overview-main-road-network,local_oneway_km,local_twoway_km,local_dualcw_km,local_contra_km,overview-local-road-network,ratio_contraflow,overview-cycle_tracks-km,overview-cycle_lanes-km,overview-shared_pedestrians-km,overview-limited-access-km,overview-total-cycle-infrastructure,overview-busways-km,overview-cycle_streets-km,overview-ext-cycle-infrastructure,ratio-cycle_tracks-main_roads,ratio-cycle_infra-main_roads,sum_total_surface,sum_total_smoothness,sum_total_width,type-pedestrian-bidirectional,surface_type-limited_access-blocks_slabs_cobbles-km,surface_type-limited_access-gravel_dirt-km,surface_type-limited_access-unknown-km,surface_type-shared_pedestrians-blocks_slabs_cobbles-km,surface_type-shared_pedestrians-unknown-km,surface_type-track-asphalt_concrete-km,surface_type-track-blocks_slabs_cobbles-km,surface_type-track-gravel_dirt-km,surface_type-track-stabilised_gravel-km,surface_type-track-unknown-km,surface_type-track-unrecognised-km,surface_type-shared_pedestrians-asphalt_concrete-km,surface_type-shared_pedestrians-gravel_dirt-km,surface_type-shared_pedestrians-stabilised_gravel-km,surface_type-shared_pedestrians-unrecognised-km,surface_type-limited_access-asphalt_concrete-km,surface_type-limited_access-stabilised_gravel-km,surface_type-limited_access-unrecognised-km,surface_type-lane-asphalt_concrete-km,surface_type-lane-blocks_slabs_cobbles-km,surface_type-lane-gravel_dirt-km,surface_type-lane-stabilised_gravel-km,surface_type-lane-unknown-km,surface_type-lane-unrecognised-km,surface_quality-limited_access-unknown-km,surface_quality-shared_pedestrians-unknown-km,surface_quality-track-perfectly_rideable-km,surface_quality-track-well_rideable-km,surface_quality-track-moderatly_rideable-km,surface_quality-track-badly_rideable-km,surface_quality-track-not_rideable-km,surface_quality-track-unknown-km,surface_quality-shared_pedestrians-perfectly_rideable-km,surface_quality-shared_pedestrians-well_rideable-km,surface_quality-shared_pedestrians-moderatly_rideable-km,surface_quality-shared_pedestrians-badly_rideable-km,surface_quality-shared_pedestrians-not_rideable-km,surface_quality-limited_access-perfectly_rideable-km,surface_quality-limited_access-well_rideable-km,surface_quality-limited_access-moderatly_rideable-km,surface_quality-limited_access-badly_rideable-km,surface_quality-limited_access-not_rideable-km,surface_quality-lane-perfectly_rideable-km,surface_quality-lane-well_rideable-km,surface_quality-lane-moderatly_rideable-km,surface_quality-lane-badly_rideable-km,surface_quality-lane-not_rideable-km,surface_quality-lane-unknown-km,type-limited_access-bidirectional,type-shared_pedestrians-bidirectional,type-track-bidirectional,type-lane-unidirectional,type-track-unidirectional,type-busway-unidirectional,type-street-bidirectional,type-pedestrian-unidirectional,type-shared_pedestrians-unidirectional,type-lane-bidirectional,type-limited_access-unidirectional,type-street-unidirectional,type-busway-bidirectional,CNTR_CODE,Lat,Lon,NUTS_NAME,overview-segregated_infra,segregated_cycle_infra_ratio,overview-public_roads,cycle_infra_to_all_public,without_contraflow_cycling,cycle_tracks_to_main-roads,cycle_lanes_to_main-roads,shared_pedestrians_to_main-roads,cycle_tracks_to_public_roads,cycle_lanes_to_public_roads,shared_pedestrians_to_public_roads,busway_to_public_roads,cycle_street_to_public_roads,limited_access_to_public_roads,percent_surface_type-track-asphalt_concrete,percent_surface_type-track-blocks_slabs_cobbles,percent_surface_type-track-stabilised_gravel,percent_surface_type-track-gravel_dirt,percent_surface_type-track-unrecognised,percent_surface_type-track-unknown,percentage_with_surface_tag,percentage_with_smoothness_tag,percentage_with_width_tag,aditional_data,bidirectional-tracks-share,unidirectional-tracks-share,DATE_PBF
20,LT,64896.8,23768.9,164.7,48412.3,0.0,14.3,48591.3,8.0,748.2,22.0,1036.8,35.3,1842.3,0.0,0.1,1842.3,3.1,0.8,1107.0,61.9,110.8,410.8,1.4,15.6,12.8,107.8,294.4,280.8,57.8,1.4,0.7,407.5,0.0,598.7,23.7,12.2,0.0,5.5,0.0,0.0,1.4,0.0,0.0,0.0,20.6,0.0,30.3,997.9,15.6,2.8,1.4,1.0,0.0,727.5,19.8,2.5,11.7,4.9,0.0,0.0,0.0,4.4,0.5,0.0,1.1,0.5,0.1,0.0,0.0,20.2,35.0,1036.8,703.8,19.0,44.5,0.0,0.1,0.0,0.1,3.0,0.3,0.0,0.0,LT,55.1,23.6,Lithuania,1807.0,7.6,72360.2,2.5,92.0,3.1,0.1,4.4,1.0,0.0,1.4,0.0,0.0,0.0,37.5,7.7,0.1,0.2,0.0,54.5,60.1,3.4,6.0,23.2,94.1,5.9,2024-01-11
21,LU,2596.0,3630.6,164.8,2409.1,0.0,33.2,2607.2,16.8,193.6,21.9,297.6,893.5,1406.6,1.1,8.8,1416.5,5.3,0.4,1286.2,512.2,119.6,518.8,36.4,71.4,75.0,50.0,7.0,168.5,6.6,1.9,0.1,16.5,0.0,223.9,5.0,11.5,0.1,668.6,42.2,0.0,0.0,0.0,0.0,0.0,21.9,0.0,198.5,149.2,57.3,8.0,1.4,0.0,0.0,126.8,81.7,59.1,6.9,0.7,0.0,110.1,426.2,124.3,29.6,4.9,1.4,0.2,0.0,0.0,0.0,20.3,891.6,297.2,187.9,21.8,5.7,1.1,8.7,0.0,0.4,0.1,2.0,0.0,0.0,LU,49.8,6.1,Luxembourg,513.0,14.1,6237.7,22.7,83.2,5.3,0.6,8.2,3.1,0.4,4.8,0.0,0.1,14.3,87.0,3.4,0.1,1.0,0.0,8.5,91.4,36.4,8.5,45.5,97.1,2.9,2024-01-11
22,LV,64586.8,25026.6,210.5,46571.3,0.0,4.4,46786.2,2.0,335.8,5.7,507.1,61.9,910.4,0.0,0.7,911.1,1.3,0.4,637.6,163.4,79.2,454.1,2.7,31.0,7.3,101.3,96.0,103.4,58.5,6.4,3.0,163.8,0.8,259.9,41.4,8.5,0.0,16.4,4.4,0.0,0.0,0.0,0.0,0.0,5.7,0.0,40.5,387.1,22.3,5.6,0.1,0.9,0.0,306.9,92.4,19.0,4.6,2.9,1.1,8.9,0.6,7.1,4.1,0.7,0.0,0.0,0.0,0.0,0.0,5.7,61.5,506.1,308.3,5.4,27.4,0.0,0.7,0.0,1.0,0.3,0.3,0.0,0.0,LV,56.8,24.7,Latvia,848.6,3.4,71812.8,1.3,98.0,1.3,0.0,2.0,0.5,0.0,0.7,0.0,0.0,0.1,30.8,17.4,0.9,1.9,0.2,48.8,70.0,17.9,8.7,32.2,91.8,8.2,2024-01-11
23,ME,13881.7,3062.2,45.9,13008.1,0.0,1.5,13055.4,3.1,15.8,9.1,5.8,30.9,61.5,0.0,0.0,61.5,0.5,0.0,42.9,17.3,19.1,25.9,6.3,16.6,1.0,0.3,0.0,7.2,0.0,0.0,0.0,8.6,0.0,5.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,5.8,0.3,1.1,0.0,0.0,0.0,0.0,14.7,5.5,0.0,0.0,0.0,0.0,0.0,5.8,10.3,0.0,8.9,0.0,0.0,0.0,0.0,0.0,9.1,30.9,5.8,10.2,9.1,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ME,42.8,19.4,Montenegro,30.6,1.0,16117.6,0.4,96.9,0.5,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.2,45.7,0.0,0.0,0.0,0.0,54.3,69.7,28.1,31.1,43.0,64.4,35.7,2024-01-11
24,MK,25433.7,7488.1,88.1,11502.7,0.0,0.2,11590.9,0.2,83.2,4.5,8.7,61.2,157.6,0.0,0.0,157.6,1.1,0.2,105.4,23.1,12.7,125.3,1.6,42.1,17.0,1.7,5.1,22.7,4.6,28.0,2.2,25.6,0.0,1.9,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,38.2,8.1,16.4,0.3,0.8,2.3,0.7,62.7,0.5,0.0,0.0,0.0,0.0,0.1,2.8,17.3,0.0,2.9,0.0,0.0,0.0,0.0,0.0,4.5,61.2,8.7,69.2,4.5,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MK,41.5,21.8,Macedonia,96.3,1.3,19079.1,0.8,99.8,1.1,0.1,0.1,0.4,0.0,0.0,0.0,0.0,0.3,27.3,5.5,2.6,33.7,0.0,30.8,66.9,14.7,8.0,29.9,83.2,16.8,2024-01-11
25,MT,313.9,725.8,332.1,1238.3,0.0,5.6,1576.0,1.7,10.1,15.2,15.3,2.2,42.8,0.6,0.0,43.3,1.4,0.1,24.4,4.6,1.0,27.9,1.1,0.0,0.2,0.6,7.0,2.5,0.0,0.0,0.0,7.6,0.0,7.7,0.0,0.0,0.0,0.9,0.0,0.0,11.5,0.0,0.0,0.0,3.6,0.0,2.1,14.5,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.6,3.1,0.0,0.0,0.0,11.4,2.1,15.3,4.5,15.2,5.6,0.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,MT,35.9,14.4,Malta,40.6,5.6,2301.8,1.9,98.3,1.4,2.1,2.1,0.4,0.7,0.7,0.0,0.0,0.1,24.6,0.0,0.0,0.0,0.0,75.4,57.0,10.7,2.3,23.3,44.1,55.9,2024-01-11
26,NL,37380.4,43950.3,2643.9,86088.2,0.1,3462.8,92195.0,56.7,30997.8,2751.2,1110.8,1264.9,36124.7,0.0,471.4,36596.1,70.5,32.7,22551.3,9579.2,2932.5,2227.6,101.0,127.7,333.0,43.3,343.4,16559.8,2285.4,224.5,1627.2,10222.2,78.6,196.3,436.6,90.3,0.9,615.7,80.5,7.0,67.2,6.0,0.0,2.6,2674.8,0.5,855.1,790.2,740.5,6637.6,1514.0,98.6,9.4,21997.7,16.2,84.2,68.4,70.8,81.0,32.2,171.2,174.1,27.9,4.4,16.6,34.2,8.3,0.5,0.0,2691.6,1248.5,879.1,26099.8,2746.5,4898.0,0.0,464.7,34.9,231.7,4.7,16.4,6.7,0.0,NL,52.0,5.4,Netherlands,34859.8,79.3,136145.3,26.9,43.3,70.5,6.3,2.5,22.8,2.0,0.8,0.0,0.3,0.9,53.4,7.4,5.2,0.7,0.3,33.0,62.4,26.5,8.1,32.4,84.2,15.8,2024-01-11
27,NO,386797.2,62398.9,405.8,81297.9,0.0,42.5,81746.3,9.5,2050.0,213.8,7794.4,716.8,10774.8,0.0,1.2,10776.0,3.3,2.4,5470.7,288.8,166.6,2885.7,13.9,128.2,292.5,174.9,3431.4,513.4,42.2,88.5,39.2,1366.5,0.1,3901.7,176.6,104.7,5.1,238.8,43.3,0.0,0.0,0.0,0.0,0.0,213.7,0.0,638.7,7592.6,44.9,36.4,9.4,1.5,0.3,1957.4,132.4,32.2,33.6,1.2,2.3,8.9,20.3,32.9,14.7,1.3,3.5,4.0,0.3,0.0,0.0,206.0,715.5,7780.4,2023.7,213.0,26.2,0.0,1.2,6.0,13.9,0.8,1.3,0.0,0.0,NO,60.5,8.5,Norway,10058.1,16.1,144145.2,7.5,90.5,3.3,0.3,12.5,1.4,0.1,5.4,0.0,0.0,0.5,25.0,2.1,1.9,4.3,0.0,66.7,50.8,2.7,1.5,18.3,98.7,1.3,2024-01-11
28,PL,311940.5,154435.8,4309.6,247202.7,30.7,509.7,252052.8,10.6,12970.8,501.3,6939.3,3309.3,23720.7,4.3,68.3,23793.2,8.4,13.6,16215.2,4904.4,2206.2,6194.8,326.0,897.1,674.6,2365.9,1423.1,5796.2,1814.5,216.7,228.0,4910.1,5.3,2696.1,240.6,207.1,6.5,974.3,432.5,4.9,2.4,0.3,0.0,0.0,497.6,1.0,764.3,5489.4,1625.9,588.2,217.6,37.3,5.2,10496.6,690.4,404.7,296.1,53.1,5.6,270.2,875.0,1090.4,238.8,70.8,43.9,7.7,3.4,0.1,0.0,446.3,3287.2,6750.6,12636.9,460.1,333.8,4.3,57.2,15.3,188.7,41.1,22.1,11.2,0.0,PL,52.0,19.1,Poland,20411.3,13.2,406488.6,5.9,89.4,8.4,0.3,4.5,3.2,0.1,1.7,0.0,0.0,0.8,44.7,14.0,1.8,1.7,0.0,37.9,68.4,20.7,9.3,32.8,97.4,2.6,2024-01-11
29,PT,91909.2,72348.2,5294.0,96616.7,0.0,13.6,101924.3,0.3,1024.9,92.0,707.3,668.9,2493.1,2.0,0.0,2495.2,1.4,0.8,1537.2,318.8,381.6,1178.9,51.4,382.1,103.8,108.0,219.7,305.3,106.8,48.7,10.6,548.5,5.0,231.1,76.5,67.4,4.6,58.7,52.0,21.0,8.2,0.0,0.0,0.0,83.9,0.0,310.4,556.7,28.4,24.9,20.7,0.1,0.8,950.0,39.8,15.5,89.1,1.7,4.5,0.9,20.5,174.4,58.6,104.0,4.9,0.5,0.3,0.0,0.0,86.4,662.0,706.1,903.7,90.2,121.2,2.0,0.0,3.6,1.2,1.8,6.9,0.0,0.0,PT,39.7,-8.1,Portugal,1824.2,2.5,174272.5,1.4,99.7,1.4,0.1,1.0,0.6,0.1,0.4,0.0,0.0,0.4,29.8,10.4,1.0,4.8,0.5,53.5,61.7,12.8,15.3,29.9,88.2,11.8,2024-01-11
30,RO,238368.6,74044.8,2089.1,110993.0,0.0,1.6,113083.8,0.1,903.1,144.9,90.1,781.7,1919.8,1.5,2.5,1923.8,1.2,1.1,1201.4,425.8,213.3,1644.4,29.2,490.4,68.8,9.4,25.0,299.0,32.2,52.2,5.2,481.0,33.5,39.3,6.0,8.8,1.6,87.7,105.1,0.5,1.4,0.0,0.0,0.0,143.6,0.0,175.1,75.2,29.8,32.0,14.6,40.6,0.2,786.0,4.9,5.0,2.7,0.6,1.7,28.0,51.0,339.5,63.8,124.3,41.4,33.3,0.0,0.0,0.0,70.1,753.4,86.6,776.4,138.4,126.7,1.5,2.5,3.6,3.5,6.6,28.3,0.0,0.0,RO,46.1,24.8,Romania,1138.1,1.5,187128.6,1.0,99.9,1.2,0.2,0.1,0.5,0.1,0.0,0.0,0.0,0.4,33.1,3.6,0.6,5.8,3.7,53.3,62.6,22.2,11.1,32.0,86.0,14.0,2024-01-11
31,RS,77487.7,21880.2,724.6,77528.1,0.0,2.5,78255.2,0.3,497.0,37.6,128.6,85.5,748.7,0.4,0.0,749.1,2.3,0.8,422.9,93.9,82.2,209.3,2.5,26.4,8.3,1.5,67.8,267.9,17.1,0.0,0.0,212.0,0.0,53.8,5.4,0.0,0.0,39.2,0.8,8.3,0.0,0.0,0.0,0.0,37.6,0.0,45.7,114.2,16.7,20.1,8.9,1.7,0.0,449.5,3.0,0.2,10.0,1.1,0.0,0.0,6.2,6.4,17.9,9.2,0.7,1.7,0.0,0.0,0.0,35.2,85.3,127.1,479.3,37.4,17.7,0.4,0.0,0.1,1.5,0.2,0.2,0.0,0.0,RS,44.1,20.9,Serbia,663.2,3.0,100135.4,0.7,99.7,2.3,0.2,0.6,0.5,0.0,0.1,0.0,0.0,0.1,53.9,3.4,0.0,0.0,0.0,42.7,56.5,12.5,11.0,26.7,96.4,3.6,2024-01-11
32,SE,449654.8,115065.7,1032.4,202997.8,0.0,77.2,204107.4,7.0,9459.1,229.1,15071.4,1039.5,25799.1,1.1,12.8,25813.0,8.2,4.8,16923.6,1062.3,782.8,3636.5,48.4,428.9,301.8,1407.6,4497.2,4263.7,614.3,577.5,153.9,3849.3,0.4,8011.1,849.7,302.0,3.8,150.6,109.6,0.2,2.0,0.0,0.0,0.0,227.1,0.0,602.1,14251.0,87.4,50.6,55.7,12.9,2.8,9249.6,396.6,210.1,122.0,45.7,45.9,6.4,127.1,233.4,63.2,7.3,1.7,0.3,0.0,0.1,0.0,227.0,1035.7,14986.1,9179.4,219.7,279.6,1.1,12.8,9.4,85.3,9.4,3.9,0.0,0.0,SE,60.5,14.9,Sweden,24759.6,21.5,319173.1,8.1,93.0,8.2,0.2,13.1,3.0,0.1,4.7,0.0,0.0,0.3,45.1,6.5,1.6,6.1,0.0,40.7,65.6,4.1,3.0,24.2,97.0,3.0,2024-01-11
33,SI,20271.7,10124.5,213.5,32094.7,0.0,22.3,32330.6,9.5,752.8,112.9,269.4,459.0,1594.2,0.5,2.0,1596.6,7.4,1.9,1024.3,439.5,266.4,575.4,10.4,250.5,50.4,3.5,75.6,400.9,7.9,11.2,1.8,331.2,0.0,127.9,46.2,16.2,0.0,73.4,73.7,0.6,0.0,0.2,0.0,0.0,112.7,0.0,89.0,205.2,127.0,34.5,23.4,1.8,1.2,564.8,44.0,2.9,15.8,1.1,0.5,27.6,34.2,170.7,109.9,27.5,20.7,5.5,1.5,0.0,0.0,85.3,456.6,236.7,543.1,108.9,209.8,0.5,2.0,2.9,32.7,4.0,2.4,0.0,0.0,SI,46.2,14.6,Slovenia,1135.2,11.2,42455.1,3.8,90.5,7.4,1.1,2.7,1.8,0.3,0.6,0.0,0.0,1.1,53.2,1.0,0.2,1.5,0.0,44.0,64.3,27.6,16.7,36.2,72.1,27.9,2024-01-11
34,SK,49023.9,20164.4,892.8,21985.9,0.0,45.0,22923.7,4.8,614.4,49.1,464.5,499.9,1627.8,1.6,2.1,1631.6,3.0,0.7,1328.3,913.9,290.9,851.3,17.8,45.2,87.0,33.7,50.2,469.2,14.6,12.1,3.2,115.1,0.2,368.0,7.9,4.6,0.0,331.5,18.4,0.0,1.8,0.0,0.0,0.0,47.3,0.0,140.3,110.0,312.4,74.1,10.3,0.3,0.0,217.4,282.7,61.2,10.7,0.0,0.0,131.3,136.3,75.7,11.4,4.8,0.0,2.0,0.0,0.0,0.0,47.1,499.0,461.5,594.1,47.4,20.3,1.6,2.1,37.6,2.9,1.6,0.8,0.0,0.0,SK,48.6,19.0,Slovakia,1128.0,5.6,43088.1,3.8,95.2,3.0,0.2,2.3,1.4,0.1,1.1,0.0,0.0,1.2,76.4,2.4,0.5,2.0,0.0,18.7,81.6,56.1,17.9,51.9,96.7,3.3,2024-01-11
35,TR,780375.8,363878.7,4022.4,369806.8,0.0,0.0,373829.1,0.0,916.9,49.4,131.3,220.3,1317.9,0.0,5.0,1323.0,0.3,0.2,417.3,149.8,115.8,221.2,26.8,117.6,47.3,5.9,117.2,201.6,22.8,0.0,1.7,689.6,1.1,8.1,0.1,0.0,0.0,16.1,11.9,0.7,2.9,0.0,0.0,0.0,46.6,0.0,80.8,125.1,34.1,17.0,42.1,0.0,0.0,823.8,4.3,1.2,0.6,0.0,0.0,0.1,19.0,85.5,31.5,3.5,0.0,0.0,1.6,0.0,0.0,47.9,219.6,130.7,840.2,43.5,76.7,0.0,5.0,0.0,0.5,5.9,0.7,0.0,0.0,TR,39.1,35.7,Turkey,1097.6,0.3,737707.9,0.2,100.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,22.0,2.5,0.2,0.0,0.1,75.2,31.7,11.4,8.8,17.3,91.6,8.4,2024-01-11
36,UK,244545.0,173425.6,5419.1,277213.0,22.1,272.6,282926.8,4.8,13664.6,1996.8,10610.7,4080.5,30352.6,251.9,15.9,30620.4,7.9,43.1,18732.4,2538.9,3309.1,9856.7,182.6,1355.0,936.2,888.5,2604.4,5135.9,802.6,1170.7,449.6,6084.8,21.1,5221.1,1154.4,714.5,27.8,1092.5,500.5,13.8,1.8,0.1,0.0,0.0,1995.0,0.0,1909.4,8796.8,194.0,299.2,252.2,110.0,39.7,12769.5,391.6,436.2,702.8,217.7,65.6,17.4,395.1,1321.6,286.7,150.4,4.8,14.9,4.1,0.4,0.0,1972.6,4041.4,10554.2,12375.8,1991.9,1288.8,251.8,15.8,38.8,56.5,4.9,39.2,0.1,0.1,UK,54.5,-2.3,United Kingdom,26272.1,15.1,456352.3,6.7,95.2,7.9,1.2,6.1,3.0,0.4,2.3,0.1,0.0,0.9,37.6,5.9,3.3,8.6,0.2,44.5,61.7,8.4,10.9,27.0,90.6,9.4,2024-01-11
