,NUTS_ID,Area,overview-main-road-network,local_oneway_km,local_twoway_km,local_dualcw_km,local_contra_km,overview-local-road-network,ratio_contraflow,overview-cycle_tracks-km,overview-cycle_lanes-km,overview-shared_pedestrians-km,overview-limited-access-km,overview-total-cycle-infrastructure,overview-busways-km,overview-cycle_streets-km,overview-ext-cycle-infrastructure,ratio-cycle_tracks-main_roads,ratio-cycle_infra-main_roads,sum_total_surface,sum_total_smoothness,sum_total_width,type-pedestrian-bidirectional,surface_type-limited_access-blocks_slabs_cobbles-km,surface_type-limited_access-gravel_dirt-km,surface_type-limited_access-unknown-km,surface_type-shared_pedestrians-blocks_slabs_cobbles-km,surface_type-shared_pedestrians-unknown-km,surface_type-track-asphalt_concrete-km,surface_type-track-blocks_slabs_cobbles-km,surface_type-track-gravel_dirt-km,surface_type-track-stabilised_gravel-km,surface_type-track-unknown-km,surface_type-track-unrecognised-km,surface_type-shared_pedestrians-asphalt_concrete-km,surface_type-shared_pedestrians-gravel_dirt-km,surface_type-shared_pedestrians-stabilised_gravel-km,surface_type-shared_pedestrians-unrecognised-km,surface_type-limited_access-asphalt_concrete-km,surface_type-limited_access-stabilised_gravel-km,surface_type-limited_access-unrecognised-km,surface_type-lane-asphalt_concrete-km,surface_type-lane-blocks_slabs_cobbles-km,surface_type-lane-gravel_dirt-km,surface_type-lane-stabilised_gravel-km,surface_type-lane-unknown-km,surface_type-lane-unrecognised-km,surface_quality-limited_access-unknown-km,surface_quality-shared_pedestrians-unknown-km,surface_quality-track-perfectly_rideable-km,surface_quality-track-well_rideable-km,surface_quality-track-moderatly_rideable-km,surface_quality-track-badly_rideable-km,surface_quality-track-not_rideable-km,surface_quality-track-unknown-km,surface_quality-shared_pedestrians-perfectly_rideable-km,surface_quality-shared_pedestrians-well_rideable-km,surface_quality-shared_pedestrians-moderatly_rideable-km,surface_quality-shared_pedestrians-badly_rideable-km,surface_quality-shared_pedestrians-not_rideable-km,surface_quality-limited_access-perfectly_rideable-km,surface_quality-limited_access-well_rideable-km,surface_quality-limited_access-moderatly_rideable-km,surface_quality-limited_access-badly_rideable-km,surface_quality-limited_access-not_rideable-km,surface_quality-lane-perfectly_rideable-km,surface_quality-lane-well_rideable-km,surface_quality-lane-moderatly_rideable-km,surface_quality-lane-badly_rideable-km,surface_quality-lane-not_rideable-km,surface_quality-lane-unknown-km,type-limited_access-bidirectional,type-shared_pedestrians-bidirectional,type-track-bidirectional,type-lane-unidirectional,type-track-unidirectional,type-busway-unidirectional,type-street-bidirectional,type-pedestrian-unidirectional,type-shared_pedestrians-unidirectional,type-lane-bidirectional,type-limited_access-unidirectional,type-street-unidirectional,type-busway-bidirectional,CNTR_CODE,Lat,Lon,NUTS_NAME,overview-segregated_infra,segregated_cycle_infra_ratio,overview-public_roads,cycle_infra_to_all_public,without_contraflow_cycling,cycle_tracks_to_main-roads,cycle_lanes_to_main-roads,shared_pedestrians_to_main-roads,cycle_tracks_to_public_roads,cycle_lanes_to_public_roads,shared_pedestrians_to_public_roads,busway_to_public_roads,cycle_street_to_public_roads,limited_access_to_public_roads,percent_surface_type-track-asphalt_concrete,percent_surface_type-track-blocks_slabs_cobbles,percent_surface_type-track-stabilised_gravel,percent_surface_type-track-gravel_dirt,percent_surface_type-track-unrecognised,percent_surface_type-track-unknown,percentage_with_surface_tag,percentage_with_smoothness_tag,percentage_with_width_tag,aditional_data,bidirectional-tracks-share,unidirectional-tracks-share,DATE_PBF
10,EL,131759.4,82977.2,5751.4,127559.6,0.0,7.9,133318.9,0.1,273.6,23.5,37.1,223.3,557.4,0.7,5.9,564.0,0.3,0.5,308.6,116.8,69.2,272.3,15.5,110.1,55.9,10.6,14.6,68.8,11.3,37.5,1.0,154.9,0.0,11.1,0.0,0.7,0.0,34.6,7.1,0.1,0.0,0.0,0.0,0.0,23.5,0.0,70.1,29.9,28.5,10.3,5.2,0.1,0.0,229.4,0.8,1.4,5.0,0.0,0.0,5.6,28.1,69.2,42.4,7.9,1.8,2.7,0.0,0.0,0.0,19.0,222.2,36.8,239.1,20.4,34.5,0.7,5.9,1.1,0.2,3.1,1.1,0.0,0.0,EL,39.6,21.6,Greece,334.1,0.4,216296.1,0.3,99.9,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,25.1,4.1,0.4,13.7,0.0,56.6,55.4,20.9,12.4,29.6,87.4,12.6,2024-01-10
11,ES,506004.1,244188.6,39836.8,267493.4,0.0,148.7,307478.9,0.4,9443.4,459.8,2488.7,4319.9,16711.8,12.5,156.1,16880.4,3.9,5.0,7773.4,1817.0,1681.1,10915.6,209.2,1567.6,1511.3,226.6,1232.1,2214.5,798.1,427.4,262.8,5736.6,4.0,396.1,373.1,260.8,0.1,494.3,523.0,14.5,1.3,0.1,0.0,0.0,458.4,0.0,967.9,1839.9,255.8,239.5,247.0,156.5,8.7,8535.9,72.6,78.1,448.1,49.7,0.3,18.2,942.2,1707.6,601.2,82.8,10.1,16.2,1.0,0.1,0.0,432.4,4287.1,2476.1,8874.6,413.3,568.8,12.5,119.2,22.8,12.6,46.5,32.9,36.9,0.0,ES,40.4,-3.1,Spain,12391.9,5.1,551667.5,3.1,99.6,3.9,0.2,1.0,1.7,0.1,0.5,0.0,0.0,0.8,23.5,8.5,2.8,4.5,0.0,60.7,46.5,10.9,10.1,22.5,94.0,6.0,2024-01-10
12,FI,337522.4,87029.9,380.6,160739.2,0.0,17.1,161137.0,4.3,6348.3,47.2,16433.2,1525.1,24353.8,0.1,13.5,24367.4,7.3,5.3,18036.4,946.9,2042.2,3984.9,90.3,779.8,246.1,2817.7,3249.7,1862.3,760.9,599.3,351.2,2774.3,0.2,8553.5,1003.3,806.4,2.5,314.2,94.2,0.6,0.0,0.0,0.0,0.0,47.2,0.0,954.8,15714.9,35.0,23.0,40.8,10.2,0.2,6239.0,138.6,225.7,307.8,23.6,22.5,3.2,157.9,316.8,76.3,16.0,0.8,2.4,0.1,0.0,0.0,43.9,1521.0,16418.7,6186.3,46.9,162.0,0.1,13.5,8.8,14.5,0.4,4.1,0.0,0.0,FI,64.7,27.7,Finland,22828.7,26.2,248166.9,9.8,95.7,7.3,0.1,18.9,2.6,0.0,6.6,0.0,0.0,0.6,29.3,12.0,5.5,9.4,0.0,43.7,74.1,3.9,8.4,28.8,97.4,2.6,2024-01-10
13,FR,638364.9,490763.1,27017.5,703640.1,8.4,4731.3,735397.3,14.9,15614.8,8714.0,16080.7,6724.7,47134.1,407.3,212.6,47754.0,3.2,10.7,25945.2,7306.4,4878.2,19441.7,354.5,1760.1,1599.9,506.3,3937.7,7311.5,381.7,361.7,475.9,7073.3,10.6,7214.9,1231.7,3185.3,4.7,2159.8,846.0,4.5,135.1,0.9,0.0,0.0,8578.0,0.0,2989.8,12117.5,1563.4,629.4,283.1,59.9,4.7,13074.3,1554.2,1150.5,1063.2,166.9,28.4,324.4,977.3,1403.9,846.1,183.1,206.6,209.1,16.0,0.2,0.0,8282.1,6628.9,15895.1,13359.4,8639.8,2255.4,407.3,191.6,95.8,185.5,74.2,95.8,21.0,0.0,FR,46.8,2.6,France,40409.4,8.2,1226160.4,3.9,85.1,3.2,1.8,3.3,1.3,0.7,1.3,0.0,0.0,0.5,46.8,2.4,3.0,2.3,0.1,45.3,55.0,15.5,10.3,27.0,85.6,14.4,2024-01-11
14,HR,56516.3,30440.2,665.0,33118.7,0.0,8.1,33791.7,1.2,601.8,124.8,174.8,352.5,1253.9,0.0,11.0,1264.9,2.0,0.9,662.5,234.5,218.8,1227.4,19.5,190.5,39.9,6.3,71.8,197.4,6.5,39.4,3.6,354.9,0.0,82.5,10.7,3.6,0.0,59.3,41.3,1.9,0.0,0.0,0.0,0.0,124.8,0.0,109.6,149.3,41.5,32.5,3.1,3.0,5.6,516.2,11.3,10.1,4.2,0.0,0.0,1.1,22.4,123.4,58.2,37.9,5.4,6.2,0.0,0.0,0.0,113.2,352.0,165.1,505.4,122.8,96.4,0.0,11.0,0.7,9.8,2.0,0.5,0.0,0.0,HR,44.6,15.5,Croatia,901.4,3.0,64232.0,2.0,98.8,2.0,0.4,0.6,0.9,0.2,0.3,0.0,0.0,0.5,32.8,1.1,0.6,6.5,0.0,59.0,52.8,18.7,17.5,29.7,84.0,16.0,2024-01-11
15,HU,93009.1,36963.7,1880.1,54045.2,0.0,248.6,56173.9,11.7,3845.2,346.8,855.0,746.7,5793.7,15.5,15.2,5824.3,10.4,3.1,4050.0,2027.7,746.3,528.5,53.0,128.3,37.6,78.4,190.5,2538.6,128.2,3.0,6.2,1169.1,0.0,549.5,14.6,21.9,0.1,432.1,95.6,0.0,0.0,0.3,0.0,0.0,346.4,0.0,233.7,561.9,690.5,468.2,180.7,71.3,0.0,2434.5,91.6,109.1,73.1,18.9,0.5,48.2,190.0,202.1,68.8,3.9,0.1,0.0,0.0,0.0,0.0,346.6,744.3,849.1,3770.7,343.5,74.5,15.5,15.2,0.1,5.9,3.3,2.4,0.0,0.0,HU,47.2,19.1,Hungary,5047.0,13.7,93137.6,6.3,88.3,10.4,0.9,2.3,4.1,0.4,0.9,0.0,0.0,0.8,66.0,3.3,0.2,0.1,0.0,30.4,69.9,35.0,12.9,39.3,98.1,1.9,2024-01-11
16,IE,69940.3,40985.2,280.2,71253.3,0.0,9.9,71543.4,3.4,995.8,356.9,652.3,145.2,2150.2,31.5,2.0,2183.8,2.4,0.6,1120.0,125.0,240.7,331.3,5.4,48.1,28.5,65.1,196.8,276.0,22.3,131.2,115.3,449.3,1.6,290.8,43.9,54.7,1.0,56.3,6.8,0.0,1.4,0.0,0.0,0.0,355.5,0.0,105.0,571.2,21.9,28.1,7.9,0.2,5.5,932.1,39.1,16.2,24.4,1.4,0.0,0.2,14.2,17.2,4.0,4.5,1.1,0.0,0.0,0.0,0.0,355.8,139.9,630.0,668.3,355.5,327.5,31.5,0.7,1.2,22.3,1.4,5.2,1.3,0.0,IE,53.5,-7.9,Ireland,2005.0,4.9,112528.6,1.9,96.6,2.4,0.9,1.6,0.9,0.3,0.6,0.0,0.0,0.1,27.7,2.2,11.6,13.2,0.2,45.1,52.1,5.8,11.2,23.0,67.1,32.9,2024-01-11
17,IS,102697.1,12684.4,91.7,5184.6,0.0,1.1,5277.4,1.1,51.7,2.1,743.1,16.1,813.1,0.0,0.0,813.1,0.4,0.8,800.0,35.0,225.8,192.1,0.5,10.0,0.2,21.7,12.8,51.5,0.1,0.0,0.0,0.1,0.0,698.7,9.8,0.1,0.0,5.3,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,10.3,726.7,12.4,0.2,1.0,0.0,0.0,38.2,11.9,4.3,0.0,0.3,0.0,0.5,0.0,0.8,2.4,2.1,0.0,0.0,0.0,0.0,0.0,2.1,16.0,743.1,45.6,2.1,6.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,IS,65.3,-18.6,Iceland,797.0,6.3,17961.7,4.5,98.9,0.4,0.0,5.9,0.3,0.0,4.1,0.0,0.0,0.1,99.6,0.2,0.0,0.0,0.0,0.2,98.4,4.3,27.8,43.5,88.1,11.9,2024-01-11
18,IT,300650.3,230935.2,30570.5,364544.2,0.0,232.1,395346.8,0.8,9983.1,797.5,9849.2,6654.8,27284.6,20.0,213.8,27518.4,4.3,13.5,17452.3,3710.0,4466.3,21754.4,338.6,2893.6,1340.0,798.4,2978.9,3753.2,565.9,628.7,306.9,4721.9,6.4,4148.3,1314.7,601.0,8.0,1366.6,700.6,15.4,5.6,0.4,0.0,0.0,791.5,0.0,2108.7,8038.2,228.2,481.9,286.4,54.7,6.1,8925.7,250.2,948.2,474.4,113.7,24.4,42.0,1006.6,2575.5,479.3,442.7,8.3,27.3,5.6,3.1,0.0,753.3,6568.5,9717.5,9321.2,728.2,661.9,20.0,205.7,60.9,131.7,69.4,86.2,8.1,0.0,IT,42.5,12.7,Italy,20629.8,8.9,626282.0,4.4,99.2,4.3,0.3,4.3,1.6,0.1,1.6,0.0,0.0,1.1,37.6,5.7,3.1,6.3,0.1,47.3,64.0,13.6,16.4,31.3,93.4,6.6,2024-01-11
19,LI,160.0,88.4,2.0,261.1,0.0,0.5,263.7,21.3,31.4,11.1,38.5,24.8,105.8,0.5,0.0,106.3,35.5,1.2,88.8,42.1,12.0,50.7,0.5,13.0,1.1,0.2,1.9,27.9,0.5,0.0,0.0,2.9,0.0,36.4,0.0,0.0,0.0,7.6,2.6,0.0,0.0,0.0,0.0,0.0,11.1,0.0,3.1,14.0,7.0,3.8,0.6,0.0,0.0,20.0,18.0,6.5,0.0,0.0,0.0,1.1,7.8,12.8,0.0,0.0,0.9,4.2,0.0,0.0,0.0,5.9,24.7,38.3,29.5,11.1,1.9,0.5,0.0,0.1,0.2,0.0,0.1,0.0,0.0,LI,47.2,9.5,Liechtenstein,81.0,91.6,352.0,30.2,78.7,35.5,12.5,43.6,8.9,3.1,10.9,0.1,0.0,7.0,89.0,1.7,0.0,0.0,0.0,9.3,84.0,39.8,11.4,45.1,93.9,6.1,2024-01-11
