Country,City,NUTS_ID,"Lat, Lon",Area,Date,overview-main-road-network,local_oneway_km,local_twoway_km,local_dualcw_km,local_contra_km,overview-local-road-network,ratio_contraflow,overview-cycle_tracks-km,overview-cycle_lanes-km,overview-shared_pedestrians-km,overview-limited-access-km,overview-total-cycle-infrastructure,overview-busways-km,overview-cycle_streets-km,overview-ext-cycle-infrastructure,ratio-cycle_tracks-main_roads,ratio-cycle_infra-main_roads,sum_total_surface,sum_total_smoothness,sum_total_width,percentage_with_surface_tag,percentage_with_smoothness_tag,percentage_with_width_tag,type-pedestrian-bidirectional,surface_type-limited_access-blocks_slabs_cobbles-km,surface_type-limited_access-gravel_dirt-km,surface_type-limited_access-unknown-km,surface_type-shared_pedestrians-blocks_slabs_cobbles-km,surface_type-shared_pedestrians-unknown-km,surface_type-track-asphalt_concrete-km,surface_type-track-blocks_slabs_cobbles-km,surface_type-track-gravel_dirt-km,surface_type-track-stabilised_gravel-km,surface_type-track-unknown-km,surface_type-track-unrecognised-km,surface_type-shared_pedestrians-asphalt_concrete-km,surface_type-shared_pedestrians-gravel_dirt-km,surface_type-shared_pedestrians-stabilised_gravel-km,surface_type-shared_pedestrians-unrecognised-km,surface_type-limited_access-asphalt_concrete-km,surface_type-limited_access-stabilised_gravel-km,surface_type-limited_access-unrecognised-km,surface_type-lane-asphalt_concrete-km,surface_type-lane-blocks_slabs_cobbles-km,surface_type-lane-gravel_dirt-km,surface_type-lane-stabilised_gravel-km,surface_type-lane-unknown-km,surface_type-lane-unrecognised-km,percent_surface_type-limited_access-blocks_slabs_cobbles,percent_surface_type-limited_access-gravel_dirt,percent_surface_type-limited_access-unknown,percent_surface_type-shared_pedestrians-blocks_slabs_cobbles,percent_surface_type-shared_pedestrians-unknown,percent_surface_type-track-asphalt_concrete,percent_surface_type-track-blocks_slabs_cobbles,percent_surface_type-track-stabilised_gravel,percent_surface_type-track-gravel_dirt,percent_surface_type-track-unrecognised,percent_surface_type-track-unknown,surface_quality-limited_access-unknown-km,surface_quality-shared_pedestrians-unknown-km,surface_quality-track-perfectly_rideable-km,surface_quality-track-well_rideable-km,surface_quality-track-moderatly_rideable-km,surface_quality-track-badly_rideable-km,surface_quality-track-not_rideable-km,surface_quality-track-unknown-km,surface_quality-shared_pedestrians-perfectly_rideable-km,surface_quality-shared_pedestrians-well_rideable-km,surface_quality-shared_pedestrians-moderatly_rideable-km,surface_quality-shared_pedestrians-badly_rideable-km,surface_quality-shared_pedestrians-not_rideable-km,surface_quality-limited_access-perfectly_rideable-km,surface_quality-limited_access-well_rideable-km,surface_quality-limited_access-moderatly_rideable-km,surface_quality-limited_access-badly_rideable-km,surface_quality-limited_access-not_rideable-km,surface_quality-lane-perfectly_rideable-km,surface_quality-lane-well_rideable-km,surface_quality-lane-moderatly_rideable-km,surface_quality-lane-badly_rideable-km,surface_quality-lane-not_rideable-km,surface_quality-lane-unknown-km,percent_quality-limited_access-unknown,percent_quality-shared_pedestrians-unknown,percent_quality-track-perfectly_rideable,percent_quality_type-track-well_rideable,percent_quality_type-track-stabilised_gravel,percent_quality_type-track-gravel_dirt,percent_quality_type-track-unrecognised,percent_quality_type-track-unknown,type-limited_access-bidirectional,type-shared_pedestrians-bidirectional,percent_surface_type-shared_pedestrians-asphalt_concrete,percent_quality-shared_pedestrians-well_rideable,percent_quality-track-unknown,type-track-bidirectional,percent_surface_type-lane-unknown,percent_quality-lane-unknown,type-lane-unidirectional,type-track-unidirectional,percent_quality-lane-well_rideable,percent_quality-limited_access-badly_rideable,percent_quality-limited_access-moderatly_rideable,percent_surface_type-shared_pedestrians-gravel_dirt,percent_quality-lane-perfectly_rideable,percent_quality-limited_access-not_rideable,percent_quality-shared_pedestrians-badly_rideable,percent_quality-shared_pedestrians-moderatly_rideable,percent_quality-track-well_rideable,percent_surface_type-limited_access-asphalt_concrete,percent_surface_type-shared_pedestrians-stabilised_gravel,percent_quality-limited_access-perfectly_rideable,percent_quality-limited_access-well_rideable,percent_quality-shared_pedestrians-perfectly_rideable,percent_quality-track-moderatly_rideable,type-busway-unidirectional,type-street-bidirectional,percent_surface_type-limited_access-stabilised_gravel,percent_surface_type-limited_access-unrecognised,percent_quality-track-badly_rideable,type-pedestrian-unidirectional,type-shared_pedestrians-unidirectional,percent_quality-shared_pedestrians-not_rideable,type-lane-bidirectional,type-limited_access-unidirectional,percent_quality-lane-moderatly_rideable,percent_quality-track-not_rideable,percent_surface_type-shared_pedestrians-unrecognised,percent_surface_type-lane-asphalt_concrete,percent_surface_type-lane-unrecognised,type-street-unidirectional,percent_quality-lane-badly_rideable,percent_surface_type-lane-blocks_slabs_cobbles,percent_quality-lane-not_rideable,percent_surface_type-lane-stabilised_gravel,type-busway-bidirectional
AL,Tiranë,AL022,"41.256540, 19.811920",1652.22,2024-01-10 17:06,960.259,108.522,2454.238,0.0,0.666,2563.426,0.61,45.65,5.772,11.714,0.975,64.11,0.232,0.0,64.342,0.048,0.067,52.428,47.074,15.458,81.778,73.427,24.112,8.517,0.44,,0.063,0.522,0.958,38.093,2.666,,,4.89,,1.476,8.707,0.052,,0.472,,,,,,,5.772,,45.161,,6.441,4.458,8.175,83.447,5.841,,,,10.712,0.644,1.473,22.438,8.077,0.472,,,14.664,0.586,0.857,8.725,0.074,,0.3,0.03,,,,4.397,1.119,,,,0.255,66.085,12.579,49.152,,,,,,0.975,11.714,12.597,7.316,32.122,38.623,592.24,26.144,5.772,7.027,114.862,,,74.328,451.234,,0.629,74.479,17.693,48.398,0.441,30.812,3.103,4.998,1.034,0.232,,,,,,,,,,,,,,,,,,,,
AL,Vlorë,AL035,"40.151575, 19.755046",2707.548,2024-01-10 17:07,792.408,5.935,1921.084,0.0,0.0,1927.019,0.0,4.081,0.0,0.0,0.03,4.111,0.0,3.182,7.293,0.005,0.005,0.03,0.0,0.03,0.72,0.0,0.72,3.794,,0.03,,,,,,,,4.081,,,,,,,,,,,,,,,,100.0,,,,,,,,,100.0,0.03,,,,,,,4.081,,,,,,,,,,,,,,,,,100.0,,,,,,,,0.03,,,,100.0,2.666,,,,1.415,,,,,,,,,,,,,,,,,3.182,,,,,,,,,,,,,,,,,,,
AT,Außerfern,AT331,"47.361487, 10.546676",1237.312,2024-01-10 17:25,296.325,3.057,329.16,0.0,0.85,333.066,21.748,10.458,0.33,30.005,76.004,116.797,0.0,0.0,116.797,0.035,0.394,89.361,15.326,35.296,76.509,13.122,30.22,199.217,1.845,30.732,21.486,1.524,4.019,6.466,0.125,2.266,,1.602,,20.861,1.994,1.607,,15.895,6.045,0.002,,,,,0.33,,2.427,40.435,28.269,5.079,13.393,61.824,1.193,,21.665,,15.318,13.34,20.736,0.007,1.746,0.012,0.55,,8.142,1.974,5.298,0.235,1.762,,0.931,17.302,35.883,8.549,,,,,,,0.33,17.551,69.109,0.068,,,,,,76.004,29.565,69.526,17.656,77.858,7.566,0.434,0.434,0.33,2.892,,11.248,47.212,6.644,,,5.873,0.782,16.697,20.913,5.357,1.224,22.764,6.579,0.118,,,7.953,0.003,5.259,0.901,0.44,,,,,,,,,,,,,,
AT,Bludenz-Bregenzer Wald,AT341,"47.175598, 9.916044",1874.696,2024-01-10 17:24,472.117,1.459,919.686,0.0,0.536,921.681,26.871,26.1,9.693,58.797,142.668,237.258,0.0,2.961,240.219,0.055,0.503,190.315,56.959,21.232,80.214,24.007,8.949,252.318,6.58,30.462,36.49,0.19,0.242,18.758,0.437,4.529,1.813,0.518,0.045,45.812,8.923,3.63,,48.47,20.666,,,,,,9.693,,4.612,21.351,25.577,0.323,0.411,71.87,1.673,6.947,17.353,0.172,1.985,21.853,27.507,0.86,5.198,3.244,,,16.799,7.137,18.998,3.009,0.23,1.915,3.451,33.466,76.194,7.704,,0.493,0.069,,,,9.13,15.317,46.783,3.294,,,,,,142.668,51.796,77.915,32.311,64.362,23.185,6.794,6.4,9.693,2.915,0.049,5.4,53.407,15.176,0.346,,0.392,5.118,19.915,33.974,6.174,2.419,23.457,12.139,12.428,,2.961,14.485,,,5.288,7.002,3.258,,,,,,,,,,,,,
AT,Graz,AT221,"47.113639, 15.422593",1214.797,2024-01-10 17:35,1190.918,25.811,2331.344,0.0,34.753,2391.909,57.383,92.48,18.359,145.834,66.899,323.572,4.206,5.874,333.652,0.078,0.272,235.279,63.314,35.892,72.713,19.567,11.092,93.423,3.469,15.729,17.622,21.401,22.899,55.148,5.481,0.23,2.208,29.413,,90.446,5.084,6.004,,27.348,2.73,,,,,,18.359,,5.186,23.512,26.342,14.675,15.702,59.632,5.927,2.387,0.248,,31.805,37.563,103.681,9.947,2.314,0.91,,,79.309,21.059,10.439,10.249,0.349,0.057,2.542,0.252,25.04,1.454,0.048,0.408,2.825,,,,15.125,56.149,71.095,10.756,,,,,,66.259,136.359,62.02,7.158,85.758,79.114,27.443,22.609,18.151,13.365,4.223,2.174,37.43,3.486,0.61,0.071,0.239,7.028,2.502,40.879,4.117,3.799,0.377,14.44,0.984,4.206,5.874,4.081,,,0.091,9.475,0.039,0.208,0.64,,,,,,,,,,,
AT,Innsbruck,AT332,"47.209167, 11.387029",2095.803,2024-01-10 17:29,778.852,29.047,1186.179,0.0,12.72,1227.945,30.454,53.855,15.05,118.631,167.772,355.309,0.273,3.789,359.372,0.069,0.456,276.534,59.92,80.025,77.829,16.864,22.523,256.745,12.791,34.229,33.611,0.596,11.438,33.311,0.173,1.594,0.102,18.676,,61.712,38.557,6.329,,43.414,43.727,,,,,,15.05,,7.624,20.402,20.034,0.502,9.642,61.853,0.32,0.189,2.959,,34.679,14.476,53.721,7.901,3.528,9.018,,,33.408,4.16,35.672,21.087,3.992,,2.584,40.381,96.208,6.792,7.331,0.894,0.424,0.085,,,13.647,8.628,45.284,14.671,,,,,,167.612,106.938,52.02,30.069,62.034,40.469,8.97,8.134,15.05,13.387,0.253,4.048,57.345,32.501,0.533,4.37,3.365,17.775,6.551,25.877,5.335,1.54,24.069,3.507,16.744,0.273,3.789,26.063,,,2.135,11.694,,,0.161,0.051,,,,,,,,,,
AT,Innviertel,AT311,"48.280317, 13.514015",2821.884,2024-01-10 17:20,2397.822,19.09,5315.032,0.0,1.853,5335.975,8.847,119.628,6.535,155.127,47.972,329.263,0.0,0.0,329.263,0.05,0.137,215.328,34.508,20.866,65.397,10.48,6.337,83.15,0.248,14.714,14.864,4.256,59.986,52.546,4.665,12.577,17.289,32.55,,77.011,6.124,7.749,,16.669,1.478,,,,,,6.535,,0.517,30.672,30.984,2.744,38.669,43.925,3.9,14.453,10.514,,27.209,22.293,135.869,0.148,0.263,4.831,11.478,1.207,101.702,6.636,2.2,8.005,2.417,,,7.931,17.132,,0.617,,,,,,6.535,46.47,87.585,0.124,,,,,,47.633,155.127,49.644,1.418,85.015,116.471,13.623,13.623,6.535,3.157,,,35.711,3.948,,1.287,1.558,5.16,0.22,34.748,4.995,,16.532,4.278,4.038,,,3.08,,9.594,,,,,0.339,,1.009,,,,,,,,,
AT,Klagenfurt-Villach,AT211,"46.614876, 14.036400",2030.349,2024-01-10 17:34,1412.093,29.796,2881.059,0.0,12.688,2923.542,29.866,179.998,14.293,177.698,115.823,487.812,0.241,9.014,497.068,0.127,0.345,342.259,64.556,93.795,70.162,13.234,19.228,184.743,8.016,45.646,31.351,11.569,29.537,57.346,7.549,23.483,21.184,70.372,0.063,120.045,15.908,0.639,,25.306,5.504,,,,,,14.293,,6.921,39.41,27.068,6.51,16.622,31.859,4.194,11.769,13.046,0.035,39.096,47.875,166.502,4.315,6.83,8.388,0.96,,159.505,2.105,5.368,3.723,,,0.133,9.799,16.958,25.857,15.201,0.41,0.774,,,,13.109,41.334,93.7,2.397,,,,,,115.098,169.384,67.556,3.021,88.615,166.168,12.341,11.318,14.293,13.83,0.668,22.325,14.641,8.953,0.354,13.124,,2.095,3.794,21.849,0.36,0.115,8.461,1.184,4.66,0.241,9.014,4.752,,0.533,1.114,8.314,,,0.725,,,,,,,,,,,
AT,Liezen,AT222,"47.509923, 14.214690",3319.189,2024-01-10 17:35,833.253,8.808,1352.209,0.0,0.0,1361.016,0.0,74.884,7.794,38.29,69.872,190.84,0.0,0.0,190.84,0.09,0.229,84.413,12.882,28.12,44.233,6.75,14.735,163.107,2.106,19.193,31.447,0.127,17.005,15.679,0.114,8.911,,50.181,,18.135,1.688,1.334,,7.232,9.894,,,,,,7.794,,3.014,27.469,45.006,0.332,44.411,20.937,0.152,,11.9,,67.011,19.817,32.641,0.089,8.181,0.79,1.235,0.265,64.325,1.016,2.508,2.124,,,2.325,4.546,35.191,7.568,0.424,,,,,,7.794,28.362,85.249,0.119,,,,,,69.872,38.29,47.362,6.549,85.899,58.669,11.155,11.155,7.735,16.215,,10.831,50.365,4.409,,0.607,,5.548,10.925,10.351,3.485,3.328,6.506,2.654,1.054,,,14.16,,1.649,,,,0.06,,,0.354,,,,,,,,,
AT,Linz-Wels,AT312,"48.242218, 14.194131",1745.3,2024-01-10 17:23,1813.654,60.157,4647.307,0.0,21.969,4729.433,26.75,180.067,20.006,298.401,236.737,735.21,1.813,0.944,737.968,0.099,0.405,577.35,99.593,44.291,78.528,13.546,6.024,85.44,0.625,13.451,39.875,10.208,40.691,115.695,4.13,1.683,1.271,57.288,,232.759,4.788,9.931,0.024,180.546,2.229,0.011,,,,,20.006,,0.264,5.682,16.844,3.421,13.636,64.251,2.294,0.706,0.935,,31.815,190.037,259.958,14.612,19.498,4.321,,,141.636,9.178,23.032,6.233,,,15.543,17.999,12.251,0.712,0.195,0.616,0.112,,,,19.278,80.273,87.117,8.115,,,,,,233.804,295.921,78.002,7.718,78.658,168.025,8.451,8.143,20.006,12.042,0.047,0.301,5.175,1.605,0.26,0.082,,2.089,10.828,76.265,3.328,6.565,7.603,3.076,2.399,1.813,0.944,0.941,0.005,,,2.48,,,2.932,,,0.008,,,,,,,,
